tb_latitude,tb_longitude,victim_role,point,collision_datetime,accident_year,number_killed,number_injured,primary_rd,secondary_rd
37.76772916999998,-122.42896877200002,Bicyclist,POINT (-122.428968772 37.76772917),09/13/2019 07:53:00 AM,2019,0.0,1,14TH ST,CHURCH ST
37.763373133499975,-122.42047426499998,Bicyclist,POINT (-122.420474265 37.763373133),12/10/2020 08:07:00 PM,2020,0.0,1,17TH ST,HOFF ST
37.7315383952,-122.43667894999996,Bicyclist,POINT (-122.43667895 37.731538395),10/30/2020 09:53:00 PM,2020,0.0,1,CIRCULAR AVE,MONTEREY BLVD
37.777349481600005,-122.42307323,Bicyclist,POINT (-122.42307323 37.777349482),05/07/2019 06:20:00 PM,2019,0.0,1,GOUGH ST,IVY ST
37.7684773306,-122.39480750900002,Bicyclist,POINT (-122.394807509 37.768477331),02/18/2020 01:58:00 PM,2020,0.0,1,GENE FRIEND WAY,OWENS ST
37.77788035629998,-122.409509301,Bicyclist,POINT (-122.409509301 37.777880356),05/14/2018 10:15:00 AM,2018,0.0,1,HOWARD ST,07TH ST
37.808295598099974,-122.410773385,Bicyclist,POINT (-122.410773385 37.808295598),05/09/2018 06:05:00 PM,2018,0.0,1,THE EMBARCADERO,BEACH ST
37.78537162612984,-122.41629390737542,Bicyclist,POINT (-122.416293907 37.785371626),09/24/2022 05:04:00 PM,2022,0.0,1,OFARRELL ST,HYDE ST
37.77590650940001,-122.42277878899998,Bicyclist,POINT (-122.422778789 37.775906509),11/17/2018 03:23:00 PM,2018,0.0,1,GOUGH ST,FELL ST
37.77982793339999,-122.509847308,Bicyclist,POINT (-122.509847308 37.779827933),12/16/2020 03:10:00 PM,2020,0.0,1,POINT LOBOS AVE,48TH AVE
37.77656838290001,-122.39875544899998,Bicyclist,POINT (-122.398755449 37.776568383),06/21/2019 09:45:00 AM,2019,0.0,1,05TH ST,BRANNAN ST
37.78788961359999,-122.40104304499998,Bicyclist,POINT (-122.401043045 37.787889614),02/12/2022 02:47:00 AM,2022,0.0,1,NEW MONTGOMERY ST,JESSIE ST
37.7807205401,-122.507891878,Bicyclist,POINT (-122.507891878 37.78072054),09/06/2019 01:49:00 PM,2019,0.0,1,SEAL ROCK DR,ALTA MAR WAY
37.77925797100001,-122.426828556,Bicyclist,POINT (-122.426828556 37.779257971),05/15/2018 05:15:00 PM,2018,0.0,1,MCALLISTER ST,LAGUNA ST
37.77745741989999,-122.41315769199998,Bicyclist,POINT (-122.413157692 37.77745742),06/22/2018 03:34:00 PM,2018,0.0,1,MISSION ST,08TH ST
37.75230597867122,-122.4173578174814,Bicyclist,POINT (-122.417357817 37.752305979),05/26/2022 08:30:00 PM,2022,0.0,1,24TH ST,CAPP ST
37.787450498999995,-122.400503096,Bicyclist,POINT (-122.400503096 37.787450499),01/27/2022 01:21:00 PM,2022,0.0,1,NEW MONTGOMERY ST,MISSION ST
37.746465502444416,-122.41932189489104,Bicyclist,POINT (-122.419321895 37.746465502),04/22/2022 07:50:00 PM,2022,0.0,1,MISSION ST,POWERS AVE
37.7775117114479,-122.41804316736447,Bicyclist,POINT (-122.418043167 37.777511711),10/21/2022 12:07:00 PM,2022,0.0,1,POLK ST,HAYES ST
37.77519144065313,-122.39256455312344,Bicyclist,POINT (-122.392564553 37.775191441),09/20/2022 07:30:00 AM,2022,0.0,2,04TH ST,BERRY ST
37.769806554099986,-122.423383772,Bicyclist,POINT (-122.423383772 37.769806554),09/27/2020 08:18:00 PM,2020,0.0,1,DUBOCE AVE,ELGIN PARK
37.72598566600001,-122.38680010599998,Bicyclist,POINT (-122.386800106 37.725985666),03/23/2021 06:14:00 PM,2021,0.0,1,VAN DYKE AVE,INGALLS ST
37.782010724099976,-122.485185215,Bicyclist,POINT (-122.485185215 37.782010724),02/13/2021 03:31:00 PM,2021,0.0,1,CLEMENT ST,25TH AVE
37.7840794255,-122.408024905,Bicyclist,POINT (-122.408024905 37.784079425),06/24/2018 06:07:00 PM,2018,0.0,1,MARKET ST,05TH ST
37.766261659,-122.42664205199998,Bicyclist,POINT (-122.426642052 37.766261659),03/14/2022 08:23:00 AM,2022,0.0,1,15TH ST,DOLORES ST
37.80213261099998,-122.42589922999998,Bicyclist,POINT (-122.42589923 37.802132611),11/02/2018 07:50:00 PM,2018,0.0,1,CHESTNUT ST,FRANKLIN ST
37.7880821872,-122.41005693,Bicyclist,POINT (-122.41005693 37.788082187),04/04/2019 10:52:00 AM,2019,0.0,1,POST ST,MASON ST
37.75997507209998,-122.419181127,Bicyclist,POINT (-122.419181127 37.759975072),10/14/2018 03:12:00 PM,2018,0.0,1,MISSION ST,19TH ST
37.7801824494,-122.39106458400002,Bicyclist,POINT (-122.391064584 37.780182449),05/16/2018 05:20:00 PM,2018,0.0,1,TOWNSEND ST,STANFORD ST
37.7632640868,-122.42234289200002,Bicyclist,POINT (-122.422342892 37.763264087),10/09/2018 08:04:00 PM,2018,0.0,1,17TH ST,ALBION ST
37.779354585799965,-122.433595939,Bicyclist,POINT (-122.433595939 37.779354586),03/13/2021 05:16:00 PM,2021,0.0,1,STEINER ST,GOLDEN GATE AVE
37.741759816499965,-122.40296358999996,Bicyclist,POINT (-122.40296359 37.741759816),05/19/2021 10:21:00 AM,2021,0.0,1,OAKDALE AVE,TOLAND ST
37.766539576620474,-122.42204381268569,Bicyclist,POINT (-122.422043813 37.766539577),06/13/2022 05:45:00 PM,2022,0.0,1,VALENCIA ST,15TH ST
37.8062981888,-122.408171589,Bicyclist,POINT (-122.408171589 37.806298189),06/14/2020 06:50:00 PM,2020,0.0,1,BAY ST,KEARNY ST
37.770732631599984,-122.471765526,Bicyclist,POINT (-122.471765526 37.770732632),10/04/2019 07:35:00 PM,2019,0.0,1,JOHN F KENNEDY DR,STOW LAKE DR
37.78273163549998,-122.40647940299998,Bicyclist,POINT (-122.406479403 37.782731635),11/08/2020 03:05:00 PM,2020,0.0,1,05TH ST,MISSION ST
37.7819746202,-122.485945328,Bicyclist,POINT (-122.485945328 37.78197462),06/24/2021 04:57:00 PM,2021,0.0,1,CLEMENT ST,26TH AVE
37.7812570619,-122.458858661,Bicyclist,POINT (-122.458858661 37.781257062),07/17/2021 07:23:00 AM,2021,0.0,1,GEARY BLVD,ARGUELLO BLVD
37.8064017798409,-122.437461294935,Bicyclist,POINT (-122.437461295 37.80640178),04/09/2022 09:57:00 AM,2022,0.0,3,FILLMORE ST,MARINA BLVD
37.79076009579999,-122.404030724,Bicyclist,POINT (-122.404030724 37.790760096),06/09/2018 01:30:00 PM,2018,0.0,1,KEARNY ST,BUSH ST
37.7843110124,-122.395160622,Bicyclist,POINT (-122.395160622 37.784311012),03/05/2018 05:57:00 PM,2018,0.0,1,HARRISON ST,02ND ST
37.78285225339999,-122.403222801,Bicyclist,POINT (-122.403222801 37.782852253),06/02/2018 02:52:00 PM,2018,0.0,2,HOWARD ST,04TH ST
